tech company,employer provided healthcare with mental benefits,employer provided mental healthcare awareness,current mental health disorder,mental health diagnosis,family history of mental illness,discussed personal mental health with employer,anonymity protected when using benefits,ease of asking for leave,comfortable discussing a mental health issue with direct supervisor(s),comfortable discussing a mental health issue with coworkers,Number of employees,how well do you think the tech industry supports employees with mental health issues,observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace,Age,Gender,Country of residence,Race,year
1.0,Yes,No,Don't Know,,I don't know,0.0,No,Very easy,Maybe,No,More than 1000,2.0,Maybe/Not sure,No,35.0,male,United States of America,White,2017
0.0,Yes,No,Possibly,,Yes,0.0,I don't know,I don't know,Maybe,Maybe,100-500,3.0,"Yes, I observed","Yes, I observed",31.0,female,United States of America,White,2017
1.0,No,,No,,I don't know,0.0,No,Neither easy nor difficult,No,No,26-100,5.0,No,Maybe/Not sure,28.0,Male,India,,2017
1.0,I don't know,,No,,No,0.0,I don't know,Somewhat difficult,Maybe,Maybe,1-5,4.0,No,Maybe/Not sure,27.0,male,United States of America,White,2017
1.0,I don't know,No,No,,No,0.0,I don't know,Neither easy nor difficult,Yes,Yes,1-5,3.0,No,No,28.0,Male,United States of America,White,2017
1.0,Yes,Yes,Possibly,,I don't know,0.0,Yes,Somewhat difficult,No,Maybe,500-1000,3.0,Maybe/Not sure,Maybe/Not sure,43.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Difficult,Maybe,Maybe,More than 1000,3.0,No,No,31.0,F,United States of America,White,2017
1.0,Yes,No,No,,No,0.0,Yes,I don't know,No,Yes,More than 1000,2.0,Maybe/Not sure,No,37.0,male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Yes,26-100,2.0,Maybe/Not sure,"Yes, I observed",36.0,Cis Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Very easy,Yes,Yes,100-500,1.0,No,"Yes, I observed",42.0,Female,United States of America,White,2017
1.0,Yes,Yes,No,,I don't know,0.0,Yes,Somewhat easy,No,Maybe,100-500,2.0,No,"Yes, I observed",29.0,F,United States of America,I prefer not to answer,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,Maybe,500-1000,3.0,"Yes, I observed","Yes, I experienced",41.0,Female,United States of America,White,2017
,,,No,,No,,,,,,,3.0,"Yes, I observed",Maybe/Not sure,37.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,Yes,I don't know,Yes,Yes,26-100,4.0,Maybe/Not sure,"Yes, I experienced",53.0,Male,United States of America,White,2017
,,,Possibly,,Yes,,,,,,,2.0,Maybe/Not sure,Maybe/Not sure,43.0,male,United States of America,White,2017
1.0,I don't know,No,Don't Know,,I don't know,0.0,I don't know,Difficult,No,No,500-1000,1.0,No,No,44.0,Male,United States of America,White,2017
0.0,Yes,Yes,No,,No,0.0,I don't know,I don't know,Maybe,Maybe,100-500,3.0,"Yes, I observed","Yes, I observed",37.0,Female,United States of America,I prefer not to answer,2017
1.0,Yes,No,Yes,Yes,I don't know,1.0,I don't know,Neither easy nor difficult,Maybe,Maybe,26-100,3.0,No,No,57.0,F,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,Yes,No,More than 1000,3.0,No,"Yes, I observed",47.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,Yes,Neither easy nor difficult,Yes,Maybe,100-500,2.0,"Yes, I observed","Yes, I observed",34.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Maybe,26-100,4.0,Maybe/Not sure,"Yes, I experienced",29.0,Male,United States of America,White,2017
0.0,I don't know,No,Possibly,,No,0.0,I don't know,Difficult,No,Maybe,500-1000,1.0,No,No,38.0,Male,United States of America,White,2017
1.0,I don't know,No,No,,No,0.0,Yes,Very easy,Yes,Yes,26-100,3.0,Maybe/Not sure,"Yes, I observed",41.0,Male,United Kingdom,,2017
1.0,Yes,No,Yes,Yes,No,1.0,Yes,Very easy,Yes,Yes,6-25,3.0,Maybe/Not sure,"Yes, I experienced",40.0,Male,United States of America,White,2017
,,,Yes,Yes,Yes,,,,,,,,,,,,,,2017
,,,Yes,Yes,Yes,,,,,,,,,,,,,,2017
1.0,Yes,Yes,Possibly,,No,1.0,No,Very easy,Yes,No,26-100,2.0,No,No,30.0,dude,United States of America,White,2017
1.0,Yes,Yes,Possibly,,Yes,1.0,Yes,Somewhat difficult,No,No,More than 1000,2.0,"Yes, I observed","Yes, I observed",57.0,Female,Canada,,2018
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,No,No,More than 1000,3.0,No,No,29.0,male,United States of America,White,2018
0.0,Yes,Yes,No,,Yes,0.0,I don't know,Somewhat easy,No,No,6-25,3.0,No,Maybe/Not sure,46.0,Male,United States of America,White,2018
1.0,No,No,No,,No,0.0,I don't know,Neither easy nor difficult,No,Maybe,6-25,1.0,No,Maybe/Not sure,34.0,male,Norway,,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Yes,26-100,4.0,"Yes, I observed","Yes, I observed",29.0,Ostensibly Male,United States of America,White,2018
1.0,Yes,Yes,No,,No,0.0,I don't know,Somewhat easy,Yes,Yes,100-500,3.0,No,No,55.0,male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,No,0.0,I don't know,I don't know,No,Maybe,More than 1000,2.0,No,No,29.0,Agender,Finland,,2018
1.0,Not eligible for coverage / NA,,Yes,Yes,I don't know,0.0,I don't know,I don't know,No,Maybe,26-100,4.0,No,"Yes, I experienced",35.0,male,Poland,,2018
1.0,I don't know,No,Possibly,,Yes,1.0,No,I don't know,No,No,More than 1000,1.0,Maybe/Not sure,No,33.0,"male, born with xy chromosoms",Russia,,2018
0.0,Yes,No,Don't Know,,No,0.0,I don't know,Somewhat difficult,No,No,More than 1000,1.0,"Yes, I observed",No,37.0,Male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Maybe,Maybe,More than 1000,2.0,No,No,45.0,Male,United States of America,White,2018
0.0,No,No,Yes,Yes,I don't know,0.0,I don't know,Very easy,Maybe,No,500-1000,2.0,No,"Yes, I experienced",31.0,Male,Germany,,2018
,,,No,,Yes,,,,,,,2.0,Maybe/Not sure,"Yes, I observed",38.0,Female,Canada,,2018
0.0,I don't know,No,Possibly,,Yes,0.0,I don't know,Somewhat easy,Maybe,Yes,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",26.0,Male,Germany,,2018
1.0,No,No,Possibly,,No,0.0,I don't know,Neither easy nor difficult,No,No,100-500,1.0,No,No,27.0,female,Serbia,,2018
0.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,Maybe,Maybe,6-25,2.0,"Yes, I experienced",No,35.0,Male,Canada,,2018
0.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,Neither easy nor difficult,No,No,26-100,4.0,Maybe/Not sure,No,47.0,Male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,I don't know,Maybe,Maybe,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",37.0,Male,United States of America,I prefer not to answer,2018
0.0,No,No,Don't Know,,Yes,0.0,No,Difficult,No,No,500-1000,3.0,No,No,32.0,Male,Colombia,,2018
,,,Yes,Yes,I don't know,,,,,,,3.0,Maybe/Not sure,No,46.0,Male,United Kingdom,,2018
1.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,Yes,26-100,3.0,No,"Yes, I experienced",37.0,Male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Somewhat easy,Yes,Maybe,100-500,4.0,No,No,36.0,male,United States of America,White,2018
,,,No,,Yes,,,,,,,3.0,Maybe/Not sure,Maybe/Not sure,29.0,Malel,Poland,,2018
1.0,Yes,No,Possibly,,I don't know,0.0,I don't know,Very easy,No,No,100-500,2.0,"Yes, I observed",No,45.0,Male,United States of America,I prefer not to answer,2018
0.0,I don't know,No,No,,No,0.0,I don't know,Somewhat difficult,Maybe,Maybe,6-25,3.0,No,No,30.0,Male,United States of America,White,2018
1.0,No,No,No,,I don't know,0.0,I don't know,Very easy,Maybe,Maybe,6-25,3.0,Maybe/Not sure,Maybe/Not sure,46.0,male,Germany,,2018
1.0,No,,No,,No,0.0,I don't know,Difficult,No,Maybe,26-100,1.0,No,No,29.0,male,India,,2018
1.0,I don't know,,Possibly,,I don't know,0.0,Yes,Somewhat easy,No,Maybe,More than 1000,2.0,Maybe/Not sure,Maybe/Not sure,26.0,male,Ukraine,,2018
,,,Yes,Yes,Yes,,,,,,,2.0,Maybe/Not sure,No,26.0,Male,United States of America,White,2018
1.0,I don't know,No,Yes,Yes,Yes,1.0,I don't know,Difficult,No,No,6-25,2.0,Maybe/Not sure,Maybe/Not sure,44.0,Male,Canada,,2018
1.0,Yes,No,Possibly,,I don't know,0.0,I don't know,Neither easy nor difficult,No,Maybe,26-100,3.0,Maybe/Not sure,No,32.0,Male,United States of America,White,2018
1.0,I don't know,No,Don't Know,,No,0.0,I don't know,I don't know,Maybe,Maybe,100-500,1.0,No,No,34.0,male,Poland,,2018
1.0,Yes,,Possibly,,I don't know,1.0,Yes,Very easy,Maybe,Yes,500-1000,2.0,"Yes, I observed","Yes, I observed",19.0,male,Australia,,2018
0.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,I don't know,No,No,More than 1000,3.0,No,No,38.0,M,United Kingdom,,2018
1.0,Not eligible for coverage / NA,,Yes,Yes,No,0.0,No,Difficult,No,No,6-25,1.0,"Yes, I observed",No,61.0,Male,United States of America,White,2018
1.0,Yes,Yes,No,,I don't know,0.0,I don't know,I don't know,No,Yes,6-25,1.0,No,Maybe/Not sure,44.0,Male,United States of America,White,2018
,,,Yes,Yes,Yes,,,,,,,1.0,"Yes, I experienced","Yes, I experienced",32.0,Female ,United States of America,White,2018
0.0,Yes,No,No,,No,0.0,Yes,Somewhat easy,Yes,Maybe,100-500,3.0,No,No,31.0,Male,Ireland,,2018
1.0,Yes,No,Possibly,,No,1.0,I don't know,Neither easy nor difficult,Yes,No,26-100,2.0,No,"Yes, I experienced",30.0,Female,United States of America,White,2018
,,,Possibly,,No,,,,,,,1.0,I've always been self-employed,No,52.0,male,Italy,,2018
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,I don't know,No,No,26-100,1.0,Maybe/Not sure,No,44.0,male,United States of America,More than one of the above,2018
0.0,I don't know,Yes,Yes,Yes,Yes,1.0,I don't know,Very easy,Yes,Yes,More than 1000,3.0,Maybe/Not sure,"Yes, I experienced",39.0,Male,United States of America,White,2018
,,,Don't Know,,Yes,,,,,,,1.0,No,"Yes, I experienced",36.0,Male,Spain,,2018
,,,Don't Know,,I don't know,,,,,,,3.0,I've always been self-employed,"Yes, I observed",30.0,,Netherlands,,2018
0.0,I don't know,No,Don't Know,,I don't know,0.0,Yes,Somewhat difficult,No,Maybe,26-100,2.0,No,No,39.0,male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Very easy,Yes,Yes,More than 1000,3.0,No,"Yes, I experienced",33.0,male,United States of America,White,2018
,,,No,,I don't know,,,,,,,2.0,No,No,37.0,Male,United States of America,,2018
0.0,No,No,Possibly,,No,0.0,I don't know,Difficult,No,No,26-100,3.0,No,Maybe/Not sure,34.0,male,Estonia,,2018
1.0,No,No,Possibly,,No,0.0,I don't know,Very easy,Maybe,Yes,26-100,4.0,No,"Yes, I experienced",28.0,Male,India,,2018
1.0,No,,Yes,Yes,No,0.0,I don't know,Difficult,No,Maybe,26-100,2.0,No,Maybe/Not sure,43.0,Female,Italy,,2018
1.0,I don't know,No,No,,Yes,1.0,I don't know,Somewhat easy,No,Yes,More than 1000,1.0,"Yes, I observed",No,42.0,male,United States of America,White,2018
0.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,I don't know,Yes,Yes,100-500,1.0,No,"Yes, I observed",35.0,male,United States of America,More than one of the above,2018
1.0,Yes,Yes,No,,Yes,0.0,Yes,Very easy,Yes,Yes,More than 1000,3.0,No,"Yes, I observed",28.0,female,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat difficult,Yes,Maybe,100-500,4.0,No,No,37.0,male,United States of America,White,2018
1.0,I don't know,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,No,500-1000,3.0,"Yes, I experienced",Maybe/Not sure,35.0,female,United States of America,,2018
1.0,I don't know,No,No,,No,0.0,I don't know,I don't know,No,Maybe,6-25,2.0,Maybe/Not sure,No,31.0,male,United States of America,,2018
,,,Don't Know,,I don't know,,,,,,,1.0,No,"Yes, I experienced",24.0,Male,United States of America,,2018
1.0,Yes,No,No,,No,0.0,I don't know,Somewhat difficult,Maybe,No,500-1000,4.0,No,Maybe/Not sure,27.0,Female,United States of America,Asian,2018
1.0,Yes,No,No,,Yes,1.0,I don't know,Very easy,Yes,Yes,More than 1000,4.0,"Yes, I observed","Yes, I experienced",36.0,Male,United States of America,White,2018
1.0,I don't know,No,No,,No,1.0,Yes,Somewhat easy,Yes,Maybe,6-25,3.0,No,No,33.0,male,United States of America,White,2018
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I experienced","Yes, I observed",26.0,M,United States of America,More than one of the above,2018
0.0,Yes,Yes,No,,No,1.0,Yes,Very easy,No,Maybe,More than 1000,4.0,"Yes, I observed","Yes, I observed",26.0,Male,United States of America,White,2018
0.0,I don't know,,Yes,Yes,No,0.0,I don't know,I don't know,No,No,More than 1000,2.0,No,No,24.0,Male,United States of America,Asian,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Yes,More than 1000,4.0,Maybe/Not sure,Maybe/Not sure,34.0,Male,United States of America,White,2018
1.0,Yes,Yes,Possibly,,I don't know,0.0,I don't know,I don't know,No,No,26-100,3.0,No,No,25.0,Male,United States of America,,2018
1.0,I don't know,No,Yes,Yes,Yes,0.0,Yes,I don't know,No,Maybe,6-25,4.0,No,No,19.0,female,United States of America,Asian,2018
1.0,Yes,No,No,,No,0.0,Yes,Somewhat difficult,No,No,26-100,2.0,"Yes, I experienced","Yes, I experienced",28.0,M,United States of America,Asian,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,No,More than 1000,4.0,"Yes, I observed","Yes, I experienced",26.0,male,United States of America,White,2018
1.0,No,,Yes,Yes,Yes,1.0,No,Somewhat easy,Maybe,Maybe,1-5,2.0,"Yes, I experienced",Maybe/Not sure,32.0,male,South Africa,,2018
0.0,I don't know,No,Yes,Yes,I don't know,0.0,I don't know,Somewhat difficult,Maybe,No,500-1000,1.0,No,No,23.0,male,United States of America,White,2018
0.0,Yes,Yes,No,,Yes,1.0,Yes,Somewhat easy,Yes,Maybe,More than 1000,4.0,No,"Yes, I observed",46.0,M,United States of America,White,2018
1.0,I don't know,No,Possibly,,No,1.0,I don't know,Difficult,Yes,No,6-25,2.0,Maybe/Not sure,Maybe/Not sure,28.0,Male,United States of America,White,2018
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I observed",Maybe/Not sure,38.0,MALE,Norway,,2018
1.0,I don't know,No,Yes,Yes,I don't know,0.0,I don't know,Somewhat easy,Maybe,Maybe,6-25,1.0,Maybe/Not sure,No,30.0,Female,United States of America,White,2018
1.0,I don't know,No,No,,No,1.0,I don't know,Somewhat difficult,Yes,Maybe,6-25,1.0,Maybe/Not sure,Maybe/Not sure,26.0,Male,Brazil,,2018
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,Maybe,No,6-25,3.0,No,Maybe/Not sure,37.0,Woman,Mauritius,,2018
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,Neither easy nor difficult,Maybe,Maybe,100-500,3.0,"Yes, I observed","Yes, I experienced",35.0,Male,United States of America,White,2018
0.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,I don't know,Maybe,No,100-500,2.0,"Yes, I experienced",No,26.0,Female,United States of America,More than one of the above,2018
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,Maybe,Yes,26-100,4.0,No,No,29.0,Female,United Kingdom,,2018
1.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,I don't know,Yes,Maybe,More than 1000,3.0,No,"Yes, I experienced",57.0,Male,United States of America,White,2018
0.0,Yes,Yes,No,,No,0.0,Yes,Somewhat easy,Yes,No,More than 1000,3.0,"Yes, I observed","Yes, I observed",38.0,Male,United States of America,White,2018
1.0,Yes,No,Yes,Yes,No,1.0,Yes,Somewhat easy,Yes,Yes,More than 1000,3.0,"Yes, I observed","Yes, I experienced",20.0,Female,United Kingdom,,2018
1.0,I don't know,No,Don't Know,,Yes,0.0,I don't know,Difficult,No,Maybe,6-25,1.0,No,No,41.0,M,United States of America,White,2018
0.0,Yes,No,Possibly,,Yes,0.0,No,Somewhat difficult,Maybe,No,6-25,1.0,Maybe/Not sure,No,43.0,male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,I don't know,0.0,Yes,I don't know,Yes,Maybe,More than 1000,3.0,"Yes, I observed",No,35.0,Male,United States of America,White,2018
1.0,I don't know,No,Possibly,,Yes,1.0,I don't know,Neither easy nor difficult,Yes,Yes,6-25,3.0,"Yes, I observed","Yes, I experienced",40.0,female,United States of America,White,2018
0.0,I don't know,,Don't Know,,No,0.0,No,Neither easy nor difficult,Maybe,Maybe,26-100,4.0,Maybe/Not sure,Maybe/Not sure,28.0,male,Brazil,,2018
0.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Yes,More than 1000,4.0,Maybe/Not sure,"Yes, I experienced",42.0,Male,United States of America,White,2018
0.0,Yes,No,No,,No,0.0,Yes,Somewhat easy,Maybe,Maybe,More than 1000,3.0,No,No,39.0,male,United States of America,White,2018
0.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Neither easy nor difficult,Yes,Maybe,More than 1000,2.0,"Yes, I experienced","Yes, I experienced",28.0,M,United States of America,White,2018
1.0,No,No,No,,No,0.0,I don't know,Somewhat easy,Yes,Maybe,6-25,4.0,Maybe/Not sure,Maybe/Not sure,22.0,m,India,,2018
1.0,Yes,Yes,No,,Yes,1.0,I don't know,Somewhat difficult,No,Yes,100-500,2.0,Maybe/Not sure,"Yes, I experienced",29.0,woman,United States of America,White,2018
,,,Yes,Yes,No,,,,,,,3.0,Maybe/Not sure,Maybe/Not sure,45.0,Male,United States of America,White,2018
1.0,No,No,No,,Yes,0.0,I don't know,Difficult,No,No,More than 1000,1.0,Maybe/Not sure,Maybe/Not sure,27.0,Female,Saudi Arabia,,2018
0.0,I don't know,No,No,,No,0.0,I don't know,Somewhat difficult,No,No,26-100,1.0,"Yes, I observed",No,32.0,F,Germany,,2018
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,Somewhat easy,Yes,Maybe,500-1000,3.0,Maybe/Not sure,Maybe/Not sure,28.0,Male,United States of America,White,2018
1.0,Yes,No,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Maybe,100-500,3.0,"Yes, I observed","Yes, I experienced",31.0,male,United States of America,White,2018
,,,Yes,Yes,No,,,,,,,2.0,No,Maybe/Not sure,28.0,Male,Poland,,2018
0.0,No,No,No,,No,0.0,No,Difficult,No,Maybe,More than 1000,1.0,No,No,24.0,f,Nigeria,,2018
0.0,Yes,Yes,Don't Know,,Yes,0.0,Yes,I don't know,No,No,More than 1000,3.0,No,Maybe/Not sure,27.0,Female,United States of America,Black or African American,2018
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,No,No,More than 1000,4.0,Maybe/Not sure,"Yes, I observed",36.0,f,Ireland,,2018
1.0,No,Yes,Yes,Yes,Yes,0.0,No,Difficult,No,No,More than 1000,1.0,"Yes, I observed",No,37.0,Male,United States of America,White,2018
,,,No,,No,,,,,,,2.0,I've always been self-employed,I've always been self-employed,27.0,Female,Kenya,,2018
1.0,Yes,Yes,No,,Yes,0.0,Yes,Very easy,No,Yes,100-500,2.0,No,"Yes, I observed",53.0,Female,United States of America,White,2018
1.0,Not eligible for coverage / NA,,No,,No,0.0,I don't know,Very easy,Maybe,Maybe,100-500,3.0,No,No,32.0,Male,France,,2018
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,No,Maybe,1-5,1.0,No,No,25.0,I identify as female,United States of America,I prefer not to answer,2018
1.0,Not eligible for coverage / NA,,Yes,Yes,Yes,1.0,I don't know,Difficult,Maybe,Maybe,6-25,2.0,Maybe/Not sure,Maybe/Not sure,29.0,*shrug emoji* (F),United States of America,White,2018
1.0,Yes,No,No,,I don't know,0.0,Yes,Somewhat difficult,Yes,Maybe,26-100,3.0,No,"Yes, I experienced",47.0,Male,United States of America,White,2018
,,,No,,No,,,,,,,3.0,No,No,36.0,Male,United States of America,White,2018
0.0,Yes,No,Don't Know,,Yes,1.0,I don't know,Somewhat difficult,Maybe,Maybe,More than 1000,2.0,"Yes, I observed",Maybe/Not sure,61.0,Male,United States of America,White,2018
1.0,Yes,No,Possibly,,No,0.0,Yes,I don't know,Maybe,Maybe,6-25,4.0,No,"Yes, I observed",28.0,male,United States of America,White,2018
0.0,Yes,Yes,Possibly,,Yes,0.0,Yes,I don't know,Yes,Yes,500-1000,3.0,No,"Yes, I observed",31.0,Male,United States of America,White,2018
1.0,No,,No,,I don't know,0.0,I don't know,Somewhat easy,Maybe,Maybe,6-25,2.0,"Yes, I observed",Maybe/Not sure,35.0,Male,Uruguay,,2018
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,Yes,Maybe,26-100,4.0,No,"Yes, I observed",40.0,Male,United States of America,White,2018
,,,No,,No,,,,,,,2.0,No,No,32.0,Male,United States of America,White,2018
1.0,Yes,No,No,,No,0.0,Yes,Somewhat easy,Yes,Yes,26-100,2.0,No,No,41.0,Male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,No,0.0,I don't know,Difficult,Maybe,No,6-25,3.0,"Yes, I observed","Yes, I experienced",34.0,M,United States of America,White,2018
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Neither easy nor difficult,Maybe,Maybe,6-25,3.0,"Yes, I observed",No,31.0,Female,United States of America,White,2018
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,Yes,Very easy,Yes,Yes,More than 1000,4.0,No,No,35.0,Female,United States of America,Black or African American,2018
1.0,Yes,Yes,Possibly,,Yes,0.0,Yes,Somewhat easy,Maybe,Yes,500-1000,2.0,"Yes, I experienced",Maybe/Not sure,27.0,Female,United States of America,Black or African American,2018
1.0,Yes,No,No,,Yes,0.0,Yes,Somewhat easy,Yes,Maybe,100-500,3.0,No,No,42.0,Female,United States of America,White,2018
,,,No,,No,,,,,,,2.0,"Yes, I observed","Yes, I experienced",67.0,Female,United States of America,White,2018
0.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Somewhat easy,No,No,More than 1000,3.0,"Yes, I observed","Yes, I observed",56.0,male,United States of America,White,2018
1.0,Yes,No,Yes,Yes,Yes,1.0,I don't know,Neither easy nor difficult,Maybe,Maybe,6-25,3.0,"Yes, I experienced","Yes, I experienced",27.0,Female,United States of America,Black or African American,2018
1.0,Yes,No,Don't Know,,Yes,0.0,Yes,Somewhat difficult,Yes,Yes,More than 1000,3.0,"Yes, I observed","Yes, I observed",37.0,Female,United Kingdom,,2018
,,,Possibly,,I don't know,,,,,,,3.0,No,Maybe/Not sure,40.0,Male,Serbia,,2018
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,Yes,Very easy,No,Yes,26-100,3.0,Maybe/Not sure,"Yes, I experienced",30.0,Female,United Kingdom,,2018
1.0,Yes,No,Possibly,,Yes,0.0,Yes,Somewhat difficult,Yes,Maybe,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",39.0,Male,United States of America,White,2018
1.0,Not eligible for coverage / NA,,Yes,Yes,Yes,0.0,I don't know,I don't know,Maybe,Maybe,6-25,3.0,"Yes, I experienced","Yes, I experienced",30.0,Female,United States of America,White,2018
1.0,I don't know,No,No,,No,0.0,I don't know,Somewhat easy,Yes,Yes,6-25,4.0,Maybe/Not sure,"Yes, I observed",31.0,male,Netherlands,,2018
,,,Yes,Yes,Yes,,,,,,,1.0,No,No,36.0,Male,Italy,,2018
1.0,Yes,Yes,No,,Yes,0.0,I don't know,I don't know,No,Maybe,6-25,3.0,"Yes, I experienced",No,46.0,Male,United Kingdom,,2018
1.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Somewhat difficult,Maybe,Maybe,500-1000,3.0,Maybe/Not sure,No,45.0,Female,United States of America,White,2018
,,,Possibly,,I don't know,,,,,,,3.0,"Yes, I experienced","Yes, I experienced",25.0,male,Bangladesh,,2018
0.0,Not eligible for coverage / NA,,Yes,Yes,Yes,0.0,I don't know,I don't know,Maybe,Maybe,More than 1000,1.0,"Yes, I experienced",No,38.0,f,United States of America,More than one of the above,2018
1.0,Yes,Yes,No,,No,0.0,I don't know,Very easy,Yes,No,26-100,5.0,Maybe/Not sure,Maybe/Not sure,41.0,m,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Maybe,Yes,100-500,3.0,No,"Yes, I experienced",37.0,Male,United States of America,White,2018
1.0,I don't know,No,No,,No,0.0,Yes,Very easy,No,No,26-100,4.0,No,"Yes, I observed",33.0,female,United States of America,I prefer not to answer,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Maybe,26-100,3.0,"Yes, I experienced","Yes, I experienced",28.0,Nonbinary,United States of America,White,2018
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I observed",Maybe/Not sure,34.0,female,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,I don't know,Yes,Yes,26-100,2.0,"Yes, I experienced",No,29.0,f,Canada,,2018
0.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Neither easy nor difficult,Yes,Yes,500-1000,3.0,"Yes, I observed",No,28.0,female,United States of America,White,2018
,,,Yes,Yes,Yes,,,,,,,3.0,Maybe/Not sure,"Yes, I experienced",41.0,Male,Australia,,2018
1.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,I don't know,Maybe,Yes,More than 1000,2.0,Maybe/Not sure,"Yes, I experienced",38.0,Male,United States of America,White,2018
,,,No,,Yes,,,,,,,4.0,No,"Yes, I observed",37.0,"Male (or female, or both)",Netherlands,,2018
0.0,Yes,Yes,No,,No,0.0,Yes,Somewhat easy,No,Maybe,More than 1000,3.0,"Yes, I observed","Yes, I observed",42.0,Male,United States of America,White,2018
1.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,Maybe,Maybe,100-500,3.0,Maybe/Not sure,"Yes, I observed",28.0,Female,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,I don't know,Yes,Yes,More than 1000,2.0,"Yes, I observed","Yes, I observed",30.0,male,United States of America,White,2018
1.0,Yes,Yes,Yes,Yes,No,1.0,I don't know,Very easy,Yes,Yes,6-25,4.0,No,"Yes, I experienced",25.0,Female,United Kingdom,,2018
,,,Possibly,,I don't know,,,,,,,3.0,"Yes, I observed","Yes, I observed",54.0,Male,United Kingdom,,2018
,,,No,,No,,,,,,,2.0,"Yes, I observed",No,24.0,male,United Kingdom,,2018
,,,Don't Know,,I don't know,,,,,,,3.0,No,No,32.0,male,United Kingdom,,2018
